Meter ID,Timestamp,Province,City,Latitude,Longitude,Customer Type,Energy Consumption (kWh),Solar Generation (kWh),Voltage (kV),Frequency (Hz),Power Factor,Fraud,Load Shedding
1,2024-01-01 00:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.47,1.03,228.4,49.44,0.92,0,0
1,2024-01-01 01:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.14,0.09,236.7,50.61,0.85,1,0
1,2024-01-01 02:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,6.94,0.02,215.7,50.03,0.91,0,0
1,2024-01-01 03:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,9.79,0.44,233.6,49.84,1.0,0,0
1,2024-01-01 04:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,8.88,2.0,215.4,50.62,0.93,0,0
1,2024-01-01 05:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.13,0.26,235.5,50.15,0.97,0,0
1,2024-01-01 06:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,6.43,1.37,221.2,50.09,0.85,0,0
1,2024-01-01 07:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,4.36,0.71,232.1,50.03,0.99,0,1
1,2024-01-01 08:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,10.87,5.24,233.2,49.69,0.89,0,0
1,2024-01-01 09:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.13,0.42,223.8,49.32,0.88,0,0
1,2024-01-01 10:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,8.32,3.85,234.5,50.58,0.98,0,0
1,2024-01-01 11:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.76,0.92,235.0,50.13,0.89,0,0
1,2024-01-01 12:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.24,1.17,222.1,49.66,0.86,0,1
1,2024-01-01 13:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.89,0.29,241.9,49.97,0.93,0,0
1,2024-01-01 14:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.11,0.84,221.1,50.62,0.94,0,0
1,2024-01-01 15:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,9.04,1.34,218.2,49.94,0.88,0,0
1,2024-01-01 16:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,9.07,0.55,225.7,50.57,0.89,0,0
1,2024-01-01 17:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.62,0.22,231.0,49.98,0.95,0,0
1,2024-01-01 18:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,4.94,1.38,227.1,49.39,0.89,0,0
1,2024-01-01 19:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,10.7,5.34,223.0,50.67,0.91,0,0
1,2024-01-01 20:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,6.62,1.76,228.4,50.07,0.94,0,0
1,2024-01-01 21:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,4.96,1.99,229.1,50.68,0.91,0,0
1,2024-01-01 22:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,8.39,2.13,235.9,50.5,0.9,0,0
1,2024-01-01 23:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.38,0.16,243.2,49.86,0.93,0,1
1,2024-01-02 00:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,7.41,0.77,231.2,50.27,0.88,0,0
1,2024-01-02 01:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,9.86,1.29,244.9,50.65,0.93,0,0
1,2024-01-02 02:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.51,1.23,240.4,50.5,0.91,0,0
1,2024-01-02 03:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,5.41,1.81,232.4,49.82,0.99,1,1
1,2024-01-02 04:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,4.27,1.04,228.5,50.69,0.88,0,0
1,2024-01-02 05:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,5.95,1.09,237.3,50.31,0.9,0,0
1,2024-01-02 06:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,8.44,2.49,244.4,49.98,0.99,0,0
1,2024-01-02 07:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,6.69,2.89,221.9,50.0,0.94,0,0
1,2024-01-02 08:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.52,0.49,241.5,50.35,0.99,0,0
1,2024-01-02 09:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,6.42,3.15,217.3,49.73,0.88,0,0
1,2024-01-02 10:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,5.88,1.16,240.3,50.6,0.86,0,0
1,2024-01-02 11:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,7.37,0.94,223.9,49.75,0.98,0,0
1,2024-01-02 12:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,7.67,1.14,227.6,49.66,0.94,0,0
1,2024-01-02 13:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.04,0.2,217.1,49.86,0.86,0,0
1,2024-01-02 14:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.22,0.49,235.2,49.76,0.87,1,0
1,2024-01-02 15:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,3.49,0.07,224.1,50.05,0.9,0,1
1,2024-01-02 16:00:00,Free State,Bloemfontein,-29.0852,26.1596,Residential,2.01,0.85,220.8,49.88,0.95,0,1
